objectid,cross,object_location,image_small,image_thumb
01-03-522-A,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-522-A.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-522-a_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-522-a_th.jpg
01-03-522-B,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-522-B.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-522-b_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-522-b_th.jpg
01-03-544,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-544.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-544_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-544_th.jpg
01-03-583,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-583.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-583_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-583_th.jpg
01-03-584,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-584.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-584_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-584_th.jpg
01-03-585,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-585.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-585_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-585_th.jpg
01-03-586,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-586.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-586_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-586_th.jpg
01-03-587,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-587.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-587_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-587_th.jpg
01-03-588,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-588.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-588_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-588_th.jpg
01-03-589,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-589.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-589_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-589_th.jpg
01-03-590,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-590.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-590_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-590_th.jpg
01-03-591,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-591.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-591_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-591_th.jpg
01-03-592,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-592.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-592_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-592_th.jpg
01-03-593,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-593.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-593_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-593_th.jpg
01-03-594,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-594.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-594_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-594_th.jpg
01-03-595,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-595.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-595_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-595_th.jpg
01-03-596,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-596.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-596_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-596_th.jpg
01-03-597,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-597.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-597_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-597_th.jpg
01-03-598,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-598.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-598_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-598_th.jpg
01-03-599,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-599.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-599_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-599_th.jpg
01-03-609,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-609.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-609_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-609_th.jpg
01-03-611,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-611.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-611_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-611_th.jpg
01-03-612,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-612.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-612_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-612_th.jpg
01-03-614,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-614.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-614_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-614_th.jpg
