objectid,cross,object_location,image_small,image_thumb
01-01-023,01-01-023,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-023.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-023_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-023_th.jpg
01-01-024,01-01-024,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-024.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-024_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-024_th.jpg
01-01-025,01-01-025,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-025.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-025_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-025_th.jpg
01-01-026,01-01-026,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-026.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-026_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-026_th.jpg
01-01-027,01-01-027,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-027.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-027_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-027_th.jpg
01-01-028,01-01-028,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-028.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-028_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-028_th.jpg
01-01-029,01-01-029,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-029.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-029_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-029_th.jpg
01-01-030,01-01-030,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-030.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-030_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-030_th.jpg
01-01-031,01-01-031,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-031.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-031_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-031_th.jpg
01-01-032,01-01-032,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-01-032.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-01-032_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-01-032_th.jpg
