subject,count,link
"gas station",10,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#gas%20station"
"furniture",10,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#furniture"
"maple shop",10,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#maple%20shop"
"warehouse",10,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#warehouse"
"third street",9,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#third%20street"
"4th of july",9,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#4th%20of%20july"
"depot",9,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#depot"
"farmer's market",9,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#farmer's%20market"
"6th street",9,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#6th%20street"
"business district",9,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#business%20district"
"art",9,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#art"
"hospital",9,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#hospital"
"hawaiian theme",9,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#hawaiian%20theme"
"buildings",9,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#buildings"
"aerial",9,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#aerial"
"fred taylor, pastor moscow 1st baptist church, 1900",9,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#fred%20taylor,%20pastor%20moscow%201st%20baptist%20church,%201900"
"celebration",8,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#celebration"
"david & ely",8,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#david%20&%20ely"
"hotel",8,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#hotel"
"courthouse",8,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#courthouse"
"safeway",8,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#safeway"
"daily idahonian",8,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#daily%20idahonian"
"psychiana",8,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#psychiana"
"dry goods",8,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#dry%20goods"
"clothing store",8,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#clothing%20store"
"fashion",8,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#fashion"
"mezzanine",8,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#mezzanine"
"shopping center",8,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#shopping%20center"
"restaurant",8,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#restaurant"
"grain growers",8,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#grain%20growers"
"storefront",8,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#storefront"
"panoramic",8,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#panoramic"
"washington water & power",7,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#washington%20water%20&%20power"
"cloak store",7,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#cloak%20store"
"bicycles",7,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#bicycles"
"2nd street",7,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#2nd%20street"
"1st street",7,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#1st%20street"
"theater",7,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#theater"
"brown's furniture",7,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#brown's%20furniture"
"decorations",7,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#decorations"
"highway 95",7,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#highway%2095"
"bricks",7,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#bricks"
"clothing",7,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#clothing"
"newspaper",7,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#newspaper"
"grocery store",7,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#grocery%20store"
"unpaved streets",7,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#unpaved%20streets"
"elevators",7,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#elevators"
"demolition",7,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#demolition"
"water tower",7,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#water%20tower"
"automobiles",7,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#automobiles"
"high school",7,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#high%20school"
"david boyd",7,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#david%20boyd"
"fire department",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#fire%20department"
"potlatch lumber company",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#potlatch%20lumber%20company"
"street scene",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#street%20scene"
"nobby inn",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#nobby%20inn"
"ford model t",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#ford%20model%20t"
"flags",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#flags"
"children",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#children"
"wooden sidewalks",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#wooden%20sidewalks"
"dirt roads",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#dirt%20roads"
"grand opening",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#grand%20opening"
"clock",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#clock"
"police",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#police"
"crazy days",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#crazy%20days"
"texaco",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#texaco"
"gritman",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#gritman"
"flood",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#flood"
"boarding house",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#boarding%20house"
"thatuna apartments",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#thatuna%20apartments"
"mcconnell-maguire building",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#mcconnell-maguire%20building"
"william j. mcconnell",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#william%20j.%20mcconnell"
"fire escape",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#fire%20escape"
"sign",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#sign"
"bouquets",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#bouquets"
"landscape",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#landscape"
"panorama",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#panorama"
"church",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#church"
"palouse",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#palouse"
"ridge road",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#ridge%20road"
"olof p. larsen",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#olof%20p.%20larsen"
"martin, james w.",6,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#martin,%20james%20w."
"motter wheeler",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#motter%20wheeler"
"dog",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#dog"
"wagon",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#wagon"
"scott's flowers",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#scott's%20flowers"
"jerry gelwick",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#jerry%20gelwick"
"float",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#float"
"ioof",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#ioof"
"dewitt",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#dewitt"
"truck",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#truck"
"bar",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#bar"
"sears",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#sears"
"chevrolet",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#chevrolet"
"ben franklin",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#ben%20franklin"
"nuart's",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#nuart's"
"hodgins",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#hodgins"
"fire",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#fire"
"union pacific",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#union%20pacific"
"telephone",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#telephone"
"light fixtures",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#light%20fixtures"
"dresses",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#dresses"
"shoe department",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#shoe%20department"
"chairs",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#chairs"
"merchandise",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#merchandise"
"employees",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#employees"
"wooden buildings",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#wooden%20buildings"
"mcconnell warehouse",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#mcconnell%20warehouse"
"pullman grain storage",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#pullman%20grain%20storage"
"trucks",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#trucks"
"owl drug",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#owl%20drug"
"palouse empire mall",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#palouse%20empire%20mall"
"store",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#store"
"tomer's butte",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#tomer's%20butte"
"paradise ridge",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#paradise%20ridge"
"schools",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#schools"
"cityscape",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#cityscape"
"lloyd robbins",5,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#lloyd%20robbins"
"city hall",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#city%20hall"
"dentist",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#dentist"
"nuart",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#nuart"
"clifford ott collection",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#clifford%20ott%20collection"
"harness shop",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#harness%20shop"
"williamson's department store",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#williamson's%20department%20store"
"first national bank",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#first%20national%20bank"
"patriotic",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#patriotic"
"window displays",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#window%20displays"
"motel",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#motel"
"fountain",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#fountain"
"vendor",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#vendor"
"grain",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#grain"
"parking meters",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#parking%20meters"
"hardware store",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#hardware%20store"
"ford",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#ford"
"christmas decor",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#christmas%20decor"
"apartments",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#apartments"
"federal building",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#federal%20building"
"troy",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#troy"
"c street",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#c%20street"
"tractor",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#tractor"
"city employees",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#city%20employees"
"parking lot",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#parking%20lot"
"storefronts",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#storefronts"
"asbury",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#asbury"
"mens clothing",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#mens%20clothing"
"livery stable",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#livery%20stable"
"pharmacy",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#pharmacy"
"furniture store",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#furniture%20store"
"cornwall block",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#cornwall%20block"
"advertisements",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#advertisements"
"trains",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#trains"
"elevator",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#elevator"
"vinegar plant",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#vinegar%20plant"
"gritman hospital",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#gritman%20hospital"
"hunter's candy shop",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#hunter's%20candy%20shop"
"pea and lentil commission",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#pea%20and%20lentil%20commission"
"royal motor inn",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#royal%20motor%20inn"
"tri-state",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#tri-state"
"auto shop",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#auto%20shop"
"carey smith",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#carey%20smith"
"windows",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#windows"
"exterior wall decoration",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#exterior%20wall%20decoration"
"ice rink",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#ice%20rink"
"razing",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#razing"
"harry smith",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#harry%20smith"
"standpipe",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#standpipe"
"warehouses",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#warehouses"
"farmland",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#farmland"
"development",4,"https://latahcountyhistoricalsociety.github.io/moscow-pilot/browse.html#development"
